(-0.10000000000000001, 0.0052631578947368307, 0.04736842105263156)	[ 0.09269993 -0.00487894  0.95519359]
(-0.10000000000000001, 0.0052631578947368307, 0.057894736842105249)	[ 0.11532993 -0.00607     0.9755434 ]
(-0.10000000000000001, 0.0052631578947368307, 0.068421052631578938)	[ 0.13870424 -0.00730022  1.0004465 ]
(-0.10000000000000001, 0.0052631578947368307, 0.078947368421052627)	[ 0.16295343 -0.0085765   1.03009737]
(-0.10000000000000001, 0.0052631578947368307, 0.089473684210526316)	[ 0.18820051 -0.00990529  1.06472688]
(-0.10000000000000001, 0.0052631578947368307, 0.10000000000000001)	[ 0.2145572  -0.01129248  1.10460329]
(-0.10000000000000001, 0.01578947368421052, -0.10000000000000001)	[-0.22380649  0.03533787  1.11671044]
(-0.10000000000000001, 0.01578947368421052, -0.089473684210526316)	[-0.19701813  0.03110813  1.07507864]
(-0.10000000000000001, 0.01578947368421052, -0.078947368421052641)	[-0.17138907  0.02706143  1.03878738]
(-0.10000000000000001, 0.01578947368421052, -0.068421052631578952)	[-0.14680929  0.02318041  1.00755294]
(-0.10000000000000001, 0.01578947368421052, -0.05789473684210527)	[-0.12315669  0.01944579  0.98113003]
(-0.10000000000000001, 0.01578947368421052, -0.047368421052631587)	[-0.10030097  0.01583699  0.9593106 ]
(-0.10000000000000001, 0.01578947368421052, -0.036842105263157898)	[-0.07810655  0.01233261  0.9419226 ]
(-0.10000000000000001, 0.01578947368421052, -0.026315789473684223)	[-0.05643453  0.00891072  0.92882886]
(-0.10000000000000001, 0.01578947368421052, -0.015789473684210534)	[-0.03514403  0.00554906  0.91992603]
(-0.10000000000000001, 0.01578947368421052, -0.0052631578947368446)	[-0.01409308  0.00222522  0.91514385]
(-0.10000000000000001, 0.01578947368421052, 0.0052631578947368307)	[ 0.00686084 -0.00108329  0.91444454]
(-0.10000000000000001, 0.01578947368421052, 0.01578947368421052)	[ 0.02786035 -0.004399    0.9178225 ]
(-0.10000000000000001, 0.01578947368421052, 0.026315789473684209)	[ 0.04904794 -0.00774441  0.92530428]
(-0.10000000000000001, 0.01578947368421052, 0.036842105263157898)	[ 0.07056558 -0.01114193  0.93694875]
(-0.10000000000000001, 0.01578947368421052, 0.04736842105263156)	[ 0.09255422 -0.01461382  0.95284762]
(-0.10000000000000001, 0.01578947368421052, 0.057894736842105249)	[ 0.11515305 -0.01818206  0.97312606]
(-0.10000000000000001, 0.01578947368421052, 0.068421052631578938)	[ 0.13849827 -0.02186815  0.9979437 ]
(-0.10000000000000001, 0.01578947368421052, 0.078947368421052627)	[ 0.16272132 -0.02569284  1.02749566]
(-0.10000000000000001, 0.01578947368421052, 0.089473684210526316)	[ 0.18794635 -0.02967574  1.06201375]
(-0.10000000000000001, 0.01578947368421052, 0.10000000000000001)	[ 0.21428661 -0.03383473  1.10176766]
(-0.10000000000000001, 0.026315789473684209, -0.10000000000000001)	[-0.22324668  0.05874913  1.11094428]
(-0.10000000000000001, 0.026315789473684209, -0.089473684210526316)	[-0.19648867  0.05170754  1.06956848]
(-0.10000000000000001, 0.026315789473684209, -0.078947368421052641)	[-0.17090196  0.0449742   1.0335113 ]
(-0.10000000000000001, 0.026315789473684209, -0.068421052631578952)	[-0.14637334  0.0385193   1.00248604]
(-0.10000000000000001, 0.026315789473684209, -0.05789473684210527)	[-0.12277821  0.03231005  0.9762454 ]
(-0.10000000000000001, 0.026315789473684209, -0.047368421052631587)	[-0.09998441  0.02631169  0.95458   ]
(-0.10000000000000001, 0.026315789473684209, -0.036842105263157898)	[-0.07785498  0.02048815  0.93731696]
(-0.10000000000000001, 0.026315789473684209, -0.026315789473684223)	[-0.05624998  0.01480263  0.92431858]
(-0.10000000000000001, 0.026315789473684209, -0.015789473684210534)	[-0.03502777  0.00921784  0.91548126]
(-0.10000000000000001, 0.026315789473684209, -0.0052631578947368446)	[-0.01404581  0.00369627  0.91073457]
(-0.10000000000000001, 0.026315789473684209, 0.0052631578947368307)	[ 0.00683886 -0.0017997   0.91004067]
(-0.10000000000000001, 0.026315789473684209, 0.01578947368421052)	[ 0.02776931 -0.00730771  0.91339399]
(-0.10000000000000001, 0.026315789473684209, 0.026315789473684209)	[ 0.04888844 -0.01286538  0.92082111]
(-0.10000000000000001, 0.026315789473684209, 0.036842105263157898)	[ 0.07033877 -0.0185102   0.93238106]
(-0.10000000000000001, 0.026315789473684209, 0.04736842105263156)	[ 0.09226194 -0.02427946  0.9481658 ]
(-0.10000000000000001, 0.026315789473684209, 0.057894736842105249)	[ 0.11479806 -0.03021002  0.96830096]
